Expected Information,Intended Response,,,,,,,,,,,,,,,,,,,,,,,,
What’s something you wish you knew before starting therapy?,"This can bring out everything from “I didn’t need to have a perfectly formed problem” to “the first session felt awkward, and that was okay.”",,,,,,,,,,,,,,,,,,,,,,,,
What surprised you most about therapy?,A nice way to challenge assumptions without us having to tell people what therapy is “supposed” to be.,,,,,,,,,,,,,,,,,,,,,,,,
What makes a therapy space feel safe or comfortable for you?,"This can give people a glimpse into the small things that make therapy feel human: not being judged, being able to disagree, having things explained, being allowed to cry, or even being able to laugh.",,,,,,,,,,,,,,,,,,,,,,,,
What’s one thing you understand about yourself differently now?,captures the process of therapy without asking people to disclose their actual concerns or personal stories.,,,,,,,,,,,,,,,,,,,,,,,,
"If you could tell someone who is thinking about starting therapy one thing, what would you say?",,,,,,,,,,,,,,,,,,,,,,,,,
What's a small moment in therapy that stuck with you?,"Lets people share something specific and human — a phrase their therapist used, a realization mid-session — without needing to explain the backstory.",,,,,,,,,,,,,,,,,,,,,,,,
"What did you expect therapy to feel like, and what does it actually feel like?","A gentle before/after that quietly corrects misconceptions (the couch, the silence, the ""fixing"") without Ankahee having to state them directly.",,,,,,,,,,,,,,,,,,,,,,,,
What's something therapy gave you that you didn't expect to get from it?,"Opens space for answers beyond symptom relief — language for feelings, better boundaries, a different relationship with themselves.",,,,,,,,,,,,,,,,,,,,,,,,
"How did you know it was the right time to start therapy — or was there no ""right"" time at all?","Useful for people stuck in ""is this bad enough yet"" — normalizes starting without a crisis as the trigger.",,,,,,,,,,,,,,,,,,,,,,,,
"What would you tell your first-session self, if you could?","A reflective one that naturally captures growth over time, without asking anyone to name what they were going through.",,,,,,,,,,,,,,,,,,,,,,,,
