Information Required,Response,,,,,,,,,,,,,,,,,,,,,,,,
Individual Therapy,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Short card description (20–40 words):,"Feeling overwhelmed, stuck in the same patterns, or finding it difficult to understand what's happening inside you? You don't have to figure it out alone.

One-on-one online therapy for adults navigating anxiety, depression, stress, trauma, grief, relationships, identity, emotional regulation, ADHD, self-esteem, and life transitions.

Together, we look at what brings you to therapy, how your past experiences may be shaping your present, and what might help you respond differently. Our work draws from CAT, IFS, EFIT, CBT, DBT, and trauma-informed approaches, depending on what feels useful for you.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Full description:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Who it is for:,"Adults looking for individual support, whether they're navigating a specific concern or want space to understand themselves better.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Concerns or goals supported:,"Anxiety, depression, stress, trauma, grief, ADHD, relationship concerns, self-esteem, identity, emotional regulation, life transitions.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Session format: online / in-person / hybrid,Online,,,,,,,,,,,,,,,,,,,,,,,,
☐ Session duration:,50 min || 60 min || 90 min,,,,,,,,,,,,,,,,,,,,,,,,
☐ Fee or “contact for pricing”:,Starting at 1200 INR,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Recommended frequency, if appropriate:",Weekly or bi-weekly ,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages available:,"English, Hindi, Marwari, Nepali",,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapist(s) offering the service:,Both Therapists,,,,,,,,,,,,,,,,,,,,,,,,
☐ What a first session may involve:,"understanding what's brought you to therapy, and space to ask questions before deciding how to move forward together",,,,,,,,,,,,,,,,,,,,,,,,
☐ Important exclusions or disclaimer:,"Ankahee offers one-on-one therapy and counselling. Our sessions are planned in advance and are not designed to provide immediate support during a mental health crisis or emergency. 

If you are in immediate danger, feel that you may hurt yourself or someone else, or need urgent support, please contact your nearest hospital or emergency service, or reach out to a crisis helpline that can provide immediate assistance. You do not have to navigate a crisis alone. Reaching out for urgent support is a way of taking care of yourself, and you deserve to have someone with you when things feel overwhelming.

For crisis and emotional support, you can find verified helplines based on your needs through https://findahelpline.com/. The platform lists helplines offering phone, WhatsApp, text, and chat support across a range of concerns, including suicidal thoughts, emotional distress, domestic violence, grief, anxiety, and substance use.

If you are in immediate physical danger, please contact your nearest emergency service or hospital directly.
",,,,,,,,,,,,,,,,,,,,,,,,
☐ Call-to-action label:,Book an Individual Session,,,,,,,,,,,,,,,,,,,,,,,,
Service 2,,,,,,,,,,,,,,,,,,,,,,,,,
Couple's Therapy,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Short card description (20–40 words):,"You care about each other, but somehow keep having the same argument. Or maybe you've stopped knowing how to reach each other.

Couples therapy is a space to slow down those patterns, understand what is happening between you, and work towards more honest communication, connection, and trust.

Whether you're navigating recurring conflict, emotional distance, trust issues, intimacy, or a major life transition, we work with both partners to understand the relationship rather than deciding who is right or wrong.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Full description:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Who it is for:,"Couples or partners, at any stage of their relationship.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Concerns or goals supported:,"Communication, conflict, trust, intimacy, shared life challenges.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Session format: online / in-person / hybrid,Online Mode,,,,,,,,,,,,,,,,,,,,,,,,
☐ Session duration:,90 minutes ,,,,,,,,,,,,,,,,,,,,,,,,
☐ Fee or “contact for pricing”:,Contact for Pricing ,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Recommended frequency, if appropriate:",Weekly or bi-weekly,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages available:,Hindi & English,,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapist(s) offering the service:,Reetika,,,,,,,,,,,,,,,,,,,,,,,,
☐ What a first session may involve:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Important exclusions or disclaimer:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Call-to-action label:,Book a Couples Session,,,,,,,,,,,,,,,,,,,,,,,,
Service 3,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Assistance Program,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Short card description (20–40 words):,"Looking to support your employees before stress becomes burnout, or before a difficult period starts affecting their work and wellbeing?

Ankahee works with organisations to provide accessible mental health support through counselling, workshops, wellbeing initiatives, training, and customised EAP programmes. We can work with your organisation to build support around what your people actually need.","Comprehensive mental health support for organisations which include counselling, workshops, training, and customised wellbeing initiatives for teams.",,,,,,,,,,,,,,,,,,,,,,,
☐ Full description:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Who it is for:,Organisations looking to support their employees' mental health.,,,,,,,,,,,,,,,,,,,,,,,,
☐ Concerns or goals supported:,"Workplace wellbeing, employee mental health support, organisational culture around mental health.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Session format: online / in-person / hybrid,Online (India) or Offline in Jaipur ,,,,,,,,,,,,,,,,,,,,,,,,
☐ Session duration:,50 minute || 60 minute,,,,,,,,,,,,,,,,,,,,,,,,
☐ Fee or “contact for pricing”:,Contact for Pricing ,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Recommended frequency, if appropriate:",Contact for further details,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages available:,Hindi and English,,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapist(s) offering the service:,Both Therapists ,,,,,,,,,,,,,,,,,,,,,,,,
☐ What a first session may involve:,An initial consultation with the organisation to scope needs before designing the programme,,,,,,,,,,,,,,,,,,,,,,,,
☐ Important exclusions or disclaimer:,Crisis or emergency service will not be provided,,,,,,,,,,,,,,,,,,,,,,,,
☐ Call-to-action label:,Book a Consultation Session ,,,,,,,,,,,,,,,,,,,,,,,,
Service 4,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Workshops & Group Sessions,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Short card description (20–40 words):,"Want to understand yourself better, learn something practical, or have a conversation about mental health without committing to individual therapy?

Ankahee offers interactive workshops and group sessions on mental health, emotional wellbeing, relationships, boundaries, stress, emotional regulation, resilience, and workplace wellbeing.

Designed to make psychological knowledge easier to understand and actually use in everyday life.","Interactive workshops on mental health, emotional wellbeing, relationships, boundaries, stress management, resilience, and workplace wellbeing.",,,,,,,,,,,,,,,,,,,,,,,
