Question,Question,,,,,,,,,,,,,,,,,,,,,,,,
What is the difference between a counselling psychologist and a psychiatrist?,,,,,,,,,,,,,,,,,,,,,,,,,
Do I need to have a specific problem to start therapy?,,,,,,,,,,,,,,,,,,,,,,,,,
How should I prepare for my first session?,,,,,,,,,,,,,,,,,,,,,,,,,
How often will we meet?,,,,,,,,,,,,,,,,,,,,,,,,,
How many sessions will I need?,,,,,,,,,,,,,,,,,,,,,,,,,
Is online therapy effective?,,,,,,,,,,,,,,,,,,,,,,,,,
What if I don't feel like my therapist is the right fit for me?,,,,,,,,,,,,,,,,,,,,,,,,,
Can I stop therapy whenever I feel ready?,,,,,,,,,,,,,,,,,,,,,,,,,
What age groups do you work with?,,,,,,,,,,,,,,,,,,,,,,,,,
What is the cancellation policy?,,,,,,,,,,,,,,,,,,,,,,,,,
Do you offer student discounts or packages?,,,,,,,,,,,,,,,,,,,,,,,,,
Are there any limits to confidentiality?,,,,,,,,,,,,,,,,,,,,,,,,,
Can I come to therapy if I'm already feeling overwhelmed or in crisis?,,,,,,,,,,,,,,,,,,,,,,,,,
