Therapist,Age,Gender,Testimonials,,,,,,,,,,,,,,,,,,,,,,
Reetika,26.0,F,"Therapy started off for me because I was overwhelmed by my habits, my thinking, and constant procrastination. Reetika really understood me and helped me make sense of myself, how to make my life feel good and sustainable. When I started, I was in tears every other day. Now I feel like a weight has been lifted, and my life has genuinely gotten better.",,,,,,,,,,,,,,,,,,,,,,
Reetika,23.0,F,I started therapy to deal with grief and wanting a better understanding of myself and the people around me. My experience was great. I've walked away more mindful and more aware. I'd tell anyone considering it: everyone needs therapy.,,,,,,,,,,,,,,,,,,,,,,
Reetika,31.0,F,"I came to Reetika dealing with brain fog, confusion, and a deep sense of loneliness. What I appreciate most about her is that she holds space without judgment and she never pushes advice, she helps you navigate toward what you actually feel. In just a handful of sessions, I've already noticed myself becoming more compassionate toward myself. I've worked with a few therapists before and often felt judged rather than held and Reetika is the first one who's given me exactly the space I needed.",,,,,,,,,,,,,,,,,,,,,,
Reetika,24.0,F,"When I started therapy, I felt hopeless and completely lost about what was actually wrong. It was life-changing, and I'm not exaggerating. Reetika is the best therapist I could have asked for; her sincerity gives you real hope that things will get better, and you can tell she genuinely cares about her clients as people, not just patients. Two years in, I feel like a different person. She's taught me how to be kinder to myself, and I now have the strength to handle hard things without turning that anger inward. Therapy takes patience and trust in the process, but with the right therapist, it becomes bearable, and sometimes even fun.",,,,,,,,,,,,,,,,,,,,,,
Manvi,31.0,Non-Binary,"Therapy sessions with Manvi have helped me develop a much better understanding of myself and learn to navigate various complexities around my mental health. As someone who had been constantly struggling with anxiety, depression, trauma, and neurodivergence, I’ve become so much better at identifying and communicating my needs. I’m able to navigate situations with better emotional regulation and healthier coping mechanisms. One of the biggest milestones has been being able to reduce my medication after three years of being on it consistently (something I hadn’t seen much progress with for a long time).

After just a year of working with Manvi, I’ve shifted from seeing my neurodivergence primarily as a challenge to understanding it as an important part of who I am. I’ve seen significant change in myself because Manvi makes the process of change feel achievable, breaking things down into thoughtful, manageable steps that have a real impact. Therapy, for me, has been a space for reassurance and catharsis, while remaining realistic and free of toxic positivity. I feel more confident, self-affirmed, and comfortable in my own skin, and am able to show up more authentically in my relationships : for others and, most importantly, for myself!

Manvi’s approach has been a big part of this journey. She is a thoughtful listener and keen observer who notices patterns beneath what I say, and has a wonderful ability to reframe things and offer perspectives that make difficult or confusing experiences feel clearer. The reading material and exercises she shares have also helped me understand myself beyond our sessions. She is warm, calm, non-judgmental, and deeply personalised in her approach. She remembers the small details, communicates clearly, and has the best examples and metaphors. She is humble and actively seeks and incorporates feedback, making therapy feel like a reflective and genuinely collaborative process.",,,,,,,,,,,,,,,,,,,,,,
Manvi,32.0,M,"It has been over six months since I started taking therapy sessions with Manvi, and it has been a great experience.

When I first started, I felt I had a range of issues to work on, but I could never figure out which one I needed to address as a priority. Through the early sessions, I gradually realised that most of them boiled down to one core problem.

Like a true therapist, Manvi never simply tells you what the problem is. She helps you untangle the knots yourself and arrive at that moment of self-realisation.

One of the most significant aspects of these sessions has been that Manvi never makes you feel alone. She comes up with solutions, simple exercises and homework, but none of them ever feel like an additional burden on your daily routine.

She is also one of the few therapists I have come across who genuinely values every session and measures it not by the clock, but by the quality of the discussion and what you take away from it.

Overall, it has been a genuinely meaningful experience, and I’m glad I made the decision to start therapy with her.",,,,,,,,,,,,,,,,,,,,,,
Manvi,24.0,M,"I have had a wonderful experience working with Manvi over the better part of a year now. She has been really helpful in my journey of understanding myself and coping with my issues with ADHD and anxiety. She has had a major role to play in facilitating the comprehension of my own positive and negative tendencies, interpersonal behavior and how I cope with trauma. But more than any of that, Manvi has had a huge role in helping me redevelop my sense of compassion, both towards myself and others. 

I believe that she tailors her processes and methods depending on each of her clients needs, and has shown the willingness and knowledge to understand her own limitations at times, but is always ready to step in and change things. 

I would highly suggest pursuing your journey with Manvi as your therapist - especially if you want a fresh, thorough and compassionate therapist who is willing to work with your needs!",,,,,,,,,,,,,,,,,,,,,,
Manvi,17.0,F,"It has been very nice working with you. I feel like I can share openly with you, and you’re a really gentle person, who never forced me to do anything against my will and made me feel comfortable always. I would definitely recommend you to others",,,,,,,,,,,,,,,,,,,,,,
Manvi,29.0,F,"Working with you has been incredibly impactful. It has given me practical tools for emotion regulation, which has helped me a great deal in my daily life. Through our sessions, I have been able to discover my specific triggers and learn how to navigate difficult situations with calm and composure. I am deeply grateful for this growth and the steady support you provided throughout the process.",,,,,,,,,,,,,,,,,,,,,,
Manvi,33.0,F,"Working with Manvi has helped me understand the difference between my thoughts and my feelings, and how often the two can get intertwined. She has a very thorough understanding of her concepts and, more importantly, explains them with a lot of patience and relatable examples.

One of the biggest things I have taken away from our sessions is learning to question my own mindset — to pause, ask myself why I think or feel a certain way, and look for alternative perspectives or solutions that actually work for me.

I have also really valued the way she has helped me understand that rest doesn’t always need to be “earned” or justified by how difficult a situation is. Overall, therapy with Manvi has helped me become more aware of my thoughts, kinder towards myself, and more open to looking at things from different perspectives.",,,,,,,,,,,,,,,,,,,,,,
