Expected Information,Response,,,,,,,,,,,,,,,,,,,,,,,,
Reetika Shah,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Display name:,Reetika Shah,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Pronouns, if they want these displayed:",she/her,,,,,,,,,,,,,,,,,,,,,,,,
☐ Role / designation:,Consultant Psychologist,,,,,,,,,,,,,,,,,,,,,,,,
☐ Professional headshot and lifestyle photograph link:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Qualifications and institutions:,Counselling Psychologist || Christ (Deemed to be University),,,,,,,,,,,,,,,,,,,,,,,,
☐ Certifications,"Internal Family Systems, PESI
Complex Trauma Training, PESI
Mindfulness Training, InnerSpace",,,,,,,,,,,,,,,,,,,,,,,,
☐ Years of experience:,3 years,,,,,,,,,,,,,,,,,,,,,,,,
☐ Areas of support / specialisations:,"Anxiety
Depression 
Grief/Loss
Single parenting and couple parenting
ADHD
Adverse Childhood/Adulthood Experiences 
Relationships & Attachment Wounds
Setting Boundaries 
Academic Stress & Life Transitions
Self-Esteem & Body Image Concerns
Emotional Regulation
Self Exploration
Trauma",,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapeutic modalities:,"Internal Family Systems
Cognitive Behaviour Therapy
Dialectical BehaviourTherapy
Grief Therapy
Trauma-Informed Approach",,,,,,,,,,,,,,,,,,,,,,,,
☐ Client age groups:,18-55 years,,,,,,,,,,,,,,,,,,,,,,,,
☐ Session formats and locations:,Remote || 50 minutes || 60 minutes || 90 minutes ,,,,,,,,,,,,,,,,,,,,,,,,
☐ Languages spoken:,"Hindi, English, Nepali, Marwadi",,,,,,,,,,,,,,,,,,,,,,,,
☐ Short biography (60–100 words):,"Reetika is a counsellor and psychotherapist working from an Internal Family Systems (IFS) lens, alongside DBT, ACT, and attachment-based, trauma-informed care. Through her practice at Ankahee, she works with individuals navigating anxiety, grief, trauma, and self-esteem, with particular attention to experiences shaped by Indian family and cultural dynamics. Her approach centers on helping clients understand the different ""parts"" of themselves and their protective function with curiosity instead of judgment, so that self-knowledge becomes a source of calm rather than overwhelm.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Full biography (150–300 words):,"Reetika is a counsellor and psychotherapist with over 1400 hours of clinical experience. Her therapeutic work is rooted in Internal Family Systems (IFS), which she integrates with DBT, ACT, and attachment theory to offer a trauma-informed, parts-based approach to healing.

Central to Reetika's work is the belief that no one is ""just"" their anxiety, their anger, or their avoidance. Rather, these are parts of a person, each carrying its own history and its own protective purpose. Rather than trying to eliminate or fix these parts, Reetika helps clients build an internal relationship with them: understanding what each part is trying to do, and why.

She works primarily with young adults and adults navigating anxiety, depression, grief, trauma, attachment wounds, and self-esteem struggles, often within the specific texture of Indian family and cultural life. Additionally, themes like blurred boundaries, exam pressure, arranged marriage, and grief that isn't always given space to be spoken are given space in her therapy room. She brings both psychological depth and cultural fluency to working through them. 

Reetika believes information is power: the more clearly a person can see and understand their own inner world like its parts, its patterns, its protectors, the less overwhelming that world becomes. Her work is about turning confusion into clarity, and clarity into choice. ",,,,,,,,,,,,,,,,,,,,,,,,
☐ Personal therapeutic philosophy or quote:,"""Cycles exists because they are excruciating to break. It takes ann astronomical amount of pain and courage to disrupt a familiar pattern. Sometimes it seems easier to keep running in the same familiar circles rather than facing the fear of jumping and possibly not landing on your feet""",,,,,,,,,,,,,,,,,,,,,,,,
☐ Services offered:,"Individual Therapy, Couples Therapy",,,,,,,,,,,,,,,,,,,,,,,,
☐ Availability / working days:,"Monday, Tuesday, Thursday (12-8:30pm)
Friday (12- 6pm)
Saturday & Sunday (12- 4 pm)",,,,,,,,,,,,,,,,,,,,,,,,
☐ Booking link or preferred booking method:,WhatsApp or email,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Public email or contact method, if applicable:",reetikashah@ankahee.in,,,,,,,,,,,,,,,,,,,,,,,,
☐ Approval to publish credentials and images: Yes / No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Fees,1200 INR for Students || 1500 INR for Professionals || Sliding scale/Discounts available (please reach out to inquire) ,,,,,,,,,,,,,,,,,,,,,,,,
Behind the Couch (carousel format),Different Excel Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Testimonials (carousel format),Different Excel Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Booking Link and Session Timings,Different Excel Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Manvi Jain,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Display name:,Manvi Jain,,,,,,,,,,,,,,,,,,,,,,,,
"☐ Pronouns, if they want these displayed:",she/her,,,,,,,,,,,,,,,,,,,,,,,,
☐ Role / designation:,Counselling Psychologist,,,,,,,,,,,,,,,,,,,,,,,,
☐ Professional headshot and lifestyle photograph link:,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Qualifications and institutions:,"M.Sc. Counselling Psychology, Christ (Deemed to be University), Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,
☐ Certifications,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Years of experience:,2 years,,,,,,,,,,,,,,,,,,,,,,,,
☐ Areas of support / specialisations:,"Anxiety, depression, stress and burnout, trauma, grief and loss, relationship concerns, attachment and relational patterns, self-esteem and identity, emotional regulation, family dynamics, life transitions, perfectionism, people-pleasing, workplace concerns, and self-exploration.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Therapeutic modalities:,"Cognitive Analytic Therapy (CAT), Emotionally Focused Individual Therapy (EFIT)-informed, Dialectical Behaviour Therapy (DBT), and trauma-informed, relational practice.",,,,,,,,,,,,,,,,,,,,,,,,
☐ Client age groups:,18-55 years,,,,,,,,,,,,,,,,,,,,,,,,
