Page,Sub-Content,Comment,,,,,,,,,,,,,,,,,,,,,,,
Practice and Contact Information,LinkedIn Page,Will do after we have trademarked ,,,,,,,,,,,,,,,,,,,,,,,
Brand Identity&Visual Assets,Completed,,,,,,,,,,,,,,,,,,,,,,,,
Homepage Content,Primary button label and destination:,We have no idea what this means,,,,,,,,,,,,,,,,,,,,,,,
,Secondary button label and destination:,,,,,,,,,,,,,,,,,,,,,,,,
,"Preferred homepage section order, or approve the recommended order: Hero → Services → About → Behind the Therapy → Waiting Room → Community Wall → Team → Resources → Testimonials → Contact.
",We need to discuss this depending on how the website looks in the development phase,,,,,,,,,,,,,,,,,,,,,,,
Practice&Therapeutic Approach,Completed,,,,,,,,,,,,,,,,,,,,,,,,
Services&Support,Workshop section,Need clarity on topics like psychopharmocology; Professional Indemnity; Microskills; Setting up Practice; how to work with other MHPs/local resources; Will do after website development,,,,,,,,,,,,,,,,,,,,,,,
Therapist&Team Information,Professional Headshots,Added on the website folder,,,,,,,,,,,,,,,,,,,,,,,
Testimonials,Completed,,,,,,,,,,,,,,,,,,,,,,,,
Behind the Couch,Completed,,,,,,,,,,,,,,,,,,,,,,,,
The Waiting Room,Completed ,Added things from our end but need to know if the developer needs anything additional. We have added pictures as reference on the folder,,,,,,,,,,,,,,,,,,,,,,,
Community Wall,Questions,Manvi and Reetika need to confirm questions that would go on the website,,,,,,,,,,,,,,,,,,,,,,,
Resources,Proposed categories ,Manvi and Reetika need to confirm topics and CMS system for the website,,,,,,,,,,,,,,,,,,,,,,,
Booking ,"Fees, payment methods, cancellation/rescheduling terms, and refund rules",Reetika and Manvi need to decide ,,,,,,,,,,,,,,,,,,,,,,,
Q&A,,Reetika and Manvi need to decide ,,,,,,,,,,,,,,,,,,,,,,,
"Policies,Legal Content&Safety",,Developer needs to provide,,,,,,,,,,,,,,,,,,,,,,,
