Expected Information,Response,,,,,,,,,,,,,,,,,,,,,,,,
Reetika Shah,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred booking flow: internal form / Calendly / Google Calendar / WhatsApp / phone / external portal / other.,WhatsApp and Email -> Consent Form -> Booking Link,,,,,,,,,,,,,,,,,,,,,,,,
"Booking or calendar link:
",,,,,,,,,,,,,,,,,,,,,,,,,
"Fields to collect in the enquiry form. Recommended: name, email, optional phone, preferred contact method, enquiry type, message, and consent.
","Required: Name, Email, WhatsApp Phone, Preferred Contact Method (Email or WhatsApp), Enquiry Type (Individual Therapy, Couple Therapy, EAP), Message, Consent to be contacted",,,,,,,,,,,,,,,,,,,,,,,,
"Information that must not be requested in the general enquiry form:
","Emergency Contact, Details about issues faced by the client",,,,,,,,,,,,,,,,,,,,,,,,
"Therapist availability by day and time slot:
",Weekends and evening slots available,,,,,,,,,,,,,,,,,,,,,,,,
Online and in-person locations:,Online ,,,,,,,,,,,,,,,,,,,,,,,,
Manvi Jain,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred booking flow: internal form / Calendly / Google Calendar / WhatsApp / phone / external portal / other.,WhatsApp/Email --> Booking Form --> Google Calendar,,,,,,,,,,,,,,,,,,,,,,,,
"Booking or calendar link:
",-,,,,,,,,,,,,,,,,,,,,,,,,
"Fields to collect in the enquiry form. Recommended: name, email, optional phone, preferred contact method, enquiry type, message, and consent.
","Required: Name, Email, WhatsApp Phone, Preferred Contact Method (Email or WhatsApp), Enquiry Type (Individual Therapy, EAP, Workshops), Message, Consent to be contacted",,,,,,,,,,,,,,,,,,,,,,,,
"Information that must not be requested in the general enquiry form:
",Details about concerns,,,,,,,,,,,,,,,,,,,,,,,,
"Therapist availability by day and time slot:
",Weekends and evening slots available,,,,,,,,,,,,,,,,,,,,,,,,
Online and in-person locations:,Online,,,,,,,,,,,,,,,,,,,,,,,,
Common Information,,,,,,,,,,,,,,,,,,,,,,,,,
Email Id and what needs to be added,care@ankahee.in,,,,,,,,,,,,,,,,,,,,,,,,
"Fees, payment methods, cancellation/rescheduling terms, and refund rules:
",,,,,,,,,,,,,,,,,,,,,,,,,
"Recipient email or Google Sheet for new leads:
",care@ankahee.in,,,,,,,,,,,,,,,,,,,,,,,,
"Expected response time shown to visitors:
",24-48 hours,,,,,,,,,,,,,,,,,,,,,,,,
Emergency disclaimer and preferred crisis-support wording:,"Ankahee offers one-on-one therapy and counselling. Our sessions are planned in advance and are not designed to provide immediate support during a mental health crisis or emergency.
If you are in immediate danger, feel that you may hurt yourself or someone else, or need urgent support, please contact your nearest hospital or emergency service, or reach out to a crisis helpline that can provide immediate assistance. You do not have to navigate a crisis alone. Reaching out for urgent support is a way of taking care of yourself, and you deserve to have someone with you when things feel overwhelming.

For crisis and emotional support, you can find verified helplines based on your needs through https://findahelpline.com/. The platform lists helplines offering phone, WhatsApp, text, and chat support across a range of concerns, including suicidal thoughts, emotional distress, domestic violence, grief, anxiety, and substance use.

If you are in immediate physical danger, please contact your nearest emergency service or hospital directly.
",,,,,,,,,,,,,,,,,,,,,,,,
